Tag Code,Report Season,Location,latitude,longitude
ACBH780,2020,El Rosario,30.0595,115.7258
ACBM060,2020,El Rosario,30.0595,115.7258
ACBM486,2020,El Rosario,30.0595,115.7258
ACBT192,2020,El Rosario,30.0595,115.7258
ACBX076,2020,El Rosario,30.0595,115.7258
ACBX130,2020,El Rosario,30.0595,115.7258
ACBX619,2020,El Rosario,30.0595,115.7258
ACCB589,2020,El Rosario,30.0595,115.7258
ACCJ126,2020,El Rosario,30.0595,115.7258
ACCU260,2020,El Rosario,30.0595,115.7258
ACCU543,2020,El Rosario,30.0595,115.7258
ACCU754,2020,El Rosario,30.0595,115.7258
ACCW401,2020,El Rosario,30.0595,115.7258
ACCW403,2020,El Rosario,30.0595,115.7258
ACEA417,2020,El Rosario,30.0595,115.7258
ACEB907,2020,El Rosario,30.0595,115.7258
ACEC059,2020,El Rosario,30.0595,115.7258
ACEC701,2020,El Rosario,30.0595,115.7258
ACEC769,2020,El Rosario,30.0595,115.7258
ACEG435,2020,El Rosario,30.0595,115.7258
ACEG594,2020,El Rosario,30.0595,115.7258
ACEG778,2020,El Rosario,30.0595,115.7258
ACEH720,2020,El Rosario,30.0595,115.7258
ACEJ207,2020,El Rosario,30.0595,115.7258
ACEM278,2020,El Rosario,30.0595,115.7258
ACEN834,2020,El Rosario,30.0595,115.7258
ACEN909,2020,El Rosario,30.0595,115.7258
ACEP287,2020,El Rosario,30.0595,115.7258
ACEP410,2020,El Rosario,30.0595,115.7258
ACEP417,2020,El Rosario,30.0595,115.7258
ACEP660,2020,El Rosario,30.0595,115.7258
ACEP690,2020,El Rosario,30.0595,115.7258
ACEP843,2020,El Rosario,30.0595,115.7258
ACER054,2020,El Rosario,30.0595,115.7258
ACER974,2020,El Rosario,30.0595,115.7258
ACES032,2020,El Rosario,30.0595,115.7258
ACES552,2020,El Rosario,30.0595,115.7258
ACET809,2020,El Rosario,30.0595,115.7258
ACEW202,2020,El Rosario,30.0595,115.7258
ACEW707,2020,El Rosario,30.0595,115.7258
ACGB002,2020,El Rosario,30.0595,115.7258
ACGB229,2020,El Rosario,30.0595,115.7258
ACGE635,2020,El Rosario,30.0595,115.7258
ACGE710,2020,El Rosario,30.0595,115.7258
ACGE713,2020,El Rosario,30.0595,115.7258
ACGG664,2020,El Rosario,30.0595,115.7258
ACGH399,2020,El Rosario,30.0595,115.7258
ACGJ247,2020,El Rosario,30.0595,115.7258
ACGM576,2020,El Rosario,30.0595,115.7258
ACGW185,2020,El Rosario,30.0595,115.7258
ACGW518,2020,El Rosario,30.0595,115.7258
ACGW786,2020,El Rosario,30.0595,115.7258
ACGX531,2020,El Rosario,30.0595,115.7258
ACGY364,2020,El Rosario,30.0595,115.7258
ACGZ502,2020,El Rosario,30.0595,115.7258
ACGZ798,2020,El Rosario,30.0595,115.7258
ACGZ862,2020,El Rosario,30.0595,115.7258
ACHA241,2020,El Rosario,30.0595,115.7258
ACHB558,2020,El Rosario,30.0595,115.7258
ACHB932,2020,El Rosario,30.0595,115.7258
ACHH890,2020,El Rosario,30.0595,115.7258
ACHM954,2020,El Rosario,30.0595,115.7258
ACHT843,2020,El Rosario,30.0595,115.7258
ACHW078,2020,El Rosario,30.0595,115.7258
ACHW079,2020,El Rosario,30.0595,115.7258
ACJC214,2020,El Rosario,30.0595,115.7258
ACJC369,2020,El Rosario,30.0595,115.7258
ACJE031,2020,El Rosario,30.0595,115.7258
ACJG428,2020,El Rosario,30.0595,115.7258
ACJG634,2020,El Rosario,30.0595,115.7258
ACJG953,2020,El Rosario,30.0595,115.7258
ACJH767,2020,El Rosario,30.0595,115.7258
ACJJ682,2020,El Rosario,30.0595,115.7258
ACJJ737,2020,El Rosario,30.0595,115.7258
ACJL649,2020,El Rosario,30.0595,115.7258
ACJL670,2020,El Rosario,30.0595,115.7258
ACJL758,2020,El Rosario,30.0595,115.7258
ACJM407,2020,El Rosario,30.0595,115.7258
ACJZ668,2020,El Rosario,30.0595,115.7258
ACLA772,2020,El Rosario,30.0595,115.7258
ACLB258,2020,El Rosario,30.0595,115.7258
ACLB372,2020,El Rosario,30.0595,115.7258
ACLB390,2020,El Rosario,30.0595,115.7258
ACLE071,2020,El Rosario,30.0595,115.7258
ACLE654,2020,El Rosario,30.0595,115.7258
ACLG097,2020,El Rosario,30.0595,115.7258
ACLG280,2020,El Rosario,30.0595,115.7258
ACLG705,2020,El Rosario,30.0595,115.7258
ACLN280,2020,El Rosario,30.0595,115.7258
ACLN311,2020,El Rosario,30.0595,115.7258
ACLR027,2020,El Rosario,30.0595,115.7258
ACLR776,2020,El Rosario,30.0595,115.7258
ACLU566,2020,El Rosario,30.0595,115.7258
ACLW120,2020,El Rosario,30.0595,115.7258
ACLW453,2020,El Rosario,30.0595,115.7258
ACLX259,2020,El Rosario,30.0595,115.7258
ACMB136,2020,El Rosario,30.0595,115.7258
