Date,Town,State/Province,Latitude,Longitude,Number
7/23/2021,Baton Rouge,LA,30.4,-91.1,2
7/23/2021,Belleville,ON,44.2,-77.4,1
7/23/2021,Billings,MT,45.8,-108.6,1
7/23/2021,Bloomfield,NJ,40.8,-74.2,1
7/23/2021,Chattanooga,TN,35,-85.3,1
7/23/2021,Chester,VA,37.4,-77.4,1
7/23/2021,Cincinnati,OH,39.1,-84.4,1
7/23/2021,Downingtown,PA,40.1,-75.7,1
7/23/2021,East Hampstead,NH,42.9,-71.1,2
7/23/2021,East Hartford,CT,41.8,-72.6,1
7/23/2021,El Cerrito,CA,37.9,-122.3,1
7/23/2021,Fair Haven,VT,43.6,-73.3,1
7/23/2021,Fillmore,CA,34.4,-118.9,1
7/23/2021,Flower Mound,TX,33,-97.1,1
7/23/2021,Freeland,PA,41,-75.9,1
7/23/2021,Halifax,PA,40.5,-76.9,1
7/23/2021,Harrisburg,PA,40.3,-76.8,1
7/23/2021,Hubbardston,MA,42.5,-72,1
7/23/2021,Jackson Twp,PA,40.5,-76.9,1
7/23/2021,Jefferson City,MO,38.6,-92.3,1
7/23/2021,La Prairie,QC,45.4,-73.5,1
7/23/2021,Lakeville,MA,41.8,-70.9,1
7/23/2021,Larchmont,NY,40.9,-73.8,1
7/23/2021,Leicester,NC,35.7,-82.8,1
7/23/2021,Lenexa,KS,39,-94.8,1
7/23/2021,Lincoln,NE,40.8,-96.6,1
7/23/2021,Loveland,OH,39.2,-84.3,1
7/23/2021,Manassas,VA,38.7,-77.4,1
7/23/2021,Matamoras,PA,41.4,-74.7,2
7/23/2021,Milton,VT,44.6,-73.1,3
7/23/2021,New Orleans,LA,29.9,-90.1,1
7/23/2021,Newtown Twp,PA,40,-75.4,2
7/23/2021,Norwich,CT,41.6,-72.1,1
7/23/2021,Oklahoma City,OK,35.5,-97.5,1
7/23/2021,Oxford,MS,34.4,-89.6,1
7/23/2021,Parker,CO,39.5,-104.7,2
7/23/2021,Phoenix,NY,43.2,-76.3,1
7/23/2021,Prescott,AZ,34.6,-112.4,2
7/23/2021,Robertsdale,AL,30.5,-87.6,1
7/23/2021,Shutesbury,MA,42.5,-72.4,2
7/23/2021,Stratford,CT,41.2,-73.1,1
7/23/2021,Syria,VA,38.6,-78.4,7
7/22/2021,Athens,OH,39.3,-82.1,1
7/22/2021,Austin,TX,30.3,-97.7,1
7/22/2021,Billings,MT,45.7,-108.5,1
7/22/2021,Chelmsford,MA,42.6,-71.4,1
7/22/2021,Forest City,NC,35.3,-81.8,1
7/22/2021,Fort Worth,TX,32.7,-97.3,1
7/22/2021,Gonzales,LA,30.2,-90.9,1
7/22/2021,Guelph,ON,43.5,-80.2,2
7/22/2021,Hadley,MA,42.3,-72.6,2
7/22/2021,Hotchkiss,CO,38.8,-107.7,1
7/22/2021,Jarrell,TX,30.8,-97.6,1
7/22/2021,Manhattan Beach,CA,33.9,-118.4,1
7/22/2021,Mcfarland,WI,43,-89.3,1
7/22/2021,Mcfarland,WI,43,-89.3,1
7/22/2021,North Reading,MA,42.6,-71.1,2
7/22/2021,Rapid City,SD,44.1,-103.2,1
7/22/2021,Saint Albans,ME,44.9,-69.4,1
7/22/2021,Springfield,PA,39.9,-75.3,1
7/22/2021,Toronto,ON,43.8,-79.4,1
7/21/2021,Arlington,VA,38.9,-77.1,1
7/21/2021,Barrington,NH,43.2,-71,1
7/21/2021,Basking Ridge,NJ,40.7,-74.5,1
7/21/2021,Cutler,IN,40.5,-86.4,5
7/21/2021,Farmville,NC,35.6,-77.6,1
7/21/2021,Greeneville,TN,36.2,-82.8,1
7/21/2021,Kansas City,MO,39.2,-94.5,1
7/21/2021,Lawrence,MA,42.7,-71.2,1
7/21/2021,Portland,CT,41.6,-72.6,1
7/21/2021,South Windsor,CT,41.8,-72.6,1
7/21/2021,Toronto,ON,43.6,-79.4,3
7/21/2021,Toronto,ON,43.6,-79.4,3
7/20/2021,Bevier,MO,39.8,-92.6,1
7/20/2021,Bishop,CA,37.5,-118.4,3
7/20/2021,Catasauqua,PA,40.6,-75.5,1
7/20/2021,Corvallis,MT,46.3,-114.1,1
7/20/2021,East Stroudsburg,PA,41,-75.1,1
7/20/2021,Grand Junction,CO,39.1,-108.6,1
7/20/2021,Jackson,MI,42.3,-84.3,1
7/20/2021,Lake Orion,MI,42.8,-83.2,1
7/20/2021,Mc Lean,VA,38.9,-77.2,1
7/20/2021,Merrimac,MA,42.8,-71,1
7/20/2021,Newton,NJ,41.1,-74.8,1
7/20/2021,Northfield,OH,41.3,-81.5,1
7/20/2021,Osceola,MO,38,-93.6,1
7/20/2021,Reading,PA,40.3,-76,1
7/20/2021,Tahlequah,OK,35.9,-95,1
7/19/2021,Briarcliff Manor,NY,41.1,-73.9,1
7/19/2021,Dodge Center,MN,44,-92.9,1
7/19/2021,Fairfax Station,VA,38.8,-77.3,1
7/19/2021,Fayetteville,NY,43,-76,1
7/19/2021,Havertown,PA,40,-75.3,1
7/19/2021,Ledyard,CT,41.4,-72,3
7/19/2021,Noble,OK,35.1,-97.4,2
7/19/2021,Saint Clairsville,OH,40.1,-80.9,0
7/19/2021,Sussex,NJ,41.2,-74.7,1
7/19/2021,Tulsa,OK,36.2,-96,1
7/19/2021,Tulsa,OK,36.2,-96,1
7/19/2021,Valhalla,NY,41.1,-73.8,1
7/19/2021,Victor,NY,43,-77.4,6
7/18/2021,Alexandria,VA,38.8,-77,1
7/18/2021,Alexandria,VA,38.8,-77.1,1
7/18/2021,Brantford,ON,43.2,-80.3,1
7/18/2021,East Windsor,CT,41.9,-72.6,4
7/18/2021,Edmond,OK,35.7,-97.5,1
7/18/2021,Grants,NM,35.2,-107.8,4
7/18/2021,Halifax,NS,44.7,-63.5,1
7/18/2021,Keeseville,NY,44.5,-73.4,2
7/18/2021,Kirksville,MO,40.2,-92.6,1
7/18/2021,Morehead,KY,38.1,-83.3,1
7/18/2021,Peoria,IL,40.8,-89.6,0
7/18/2021,Pleasant Grove,UT,40.4,-111.8,1
7/18/2021,Ringoes,NJ,40.4,-74.8,1
7/18/2021,Saint Louis,MO,38.5,-90.4,1
7/18/2021,Simpsonville,SC,34.8,-82.2,1
7/18/2021,Sonoma,CA,38.3,-122.5,1
7/18/2021,Tampa,FL,27.9,-82.5,2
7/18/2021,Tampa,FL,27.9,-82.4,2
7/18/2021,Washington,PA,40.2,-80.3,1
7/18/2021,Willoughby,OH,41.7,-81.4,4
7/17/2021,Abington,MA,42.1,-70.9,1
7/17/2021,Chelmsford,MA,42.6,-71.4,1
7/17/2021,Collinsville,OK,36.3,-95.8,3
7/17/2021,Denver,NC,35.5,-81,2
7/17/2021,Freehold,NJ,40.2,-74.3,2
7/17/2021,Morganton,NC,35.8,-81.7,1
7/17/2021,North Falmouth,MA,41.6,-70.6,1
7/17/2021,Oklahoma City,OK,35.6,-97.6,1
7/17/2021,Sharon,MA,42.1,-71.2,1
7/17/2021,Shelton,CT,41.3,-73.1,2
7/17/2021,Westland,MI,42.3,-83.4,1
7/17/2021,Willimantic,CT,41.7,-72.2,1
7/17/2021,Woodstock,ON,43.1,-80.8,1
7/16/2021,Acton,MA,42.5,-71.4,2
7/16/2021,Cincinnati,OH,39.3,-84.5,1
7/16/2021,Halifax,NS,44.6,-63.6,1
7/16/2021,Pacific,MO,38.4,-90.7,1
7/16/2021,St Catharines,ON,43.1,-79.3,1
7/16/2021,Tampa,FL,27.9,-82.5,9
7/16/2021,Tampa,FL,27.9,-82.4,9
7/16/2021,West Hartford,CT,41.8,-72.7,1
7/16/2021,Wheaton,IL,41.8,-88.1,1
7/15/2021,Austin,TX,30.1,-97.8,1
7/15/2021,Burke,VA,38.8,-77.3,1
7/15/2021,Chester,VT,43.3,-72.7,0
7/15/2021,Chester,VT,43.3,-72.7,0
7/15/2021,Chester,VT,43.3,-72.7,0
7/15/2021,Conneaut,OH,41.9,-80.7,1
7/15/2021,Dennis,MA,41.7,-70.2,1
7/15/2021,East Greenbush,NY,42.6,-73.7,1
7/15/2021,Fairfield,PA,39.8,-77.4,1
7/15/2021,Fort Pierce,FL,27.4,-80.3,1
7/15/2021,Keyport,NJ,40.4,-74.2,1
7/15/2021,Los Alamos,NM,35.9,-106.3,2
7/15/2021,Lyons,NE,42,-96.5,4
7/15/2021,Lyons,NE,42,-96.5,4
7/15/2021,Lyons,NE,42,-96.5,4
7/15/2021,Lyons,NE,42,-96.5,4
7/15/2021,Rocky Point,NY,41,-72.9,2
7/15/2021,Shepherdsville,KY,38,-85.7,1
7/15/2021,Torrington,CT,41.8,-73.1,1
7/14/2021,Akron,OH,41.1,-81.7,0
7/14/2021,Buffalo,NY,42.9,-78.9,1
7/14/2021,Cibolo,TX,29.6,-98.2,1
7/14/2021,Cuyahoga Falls,OH,41.2,-81.5,1
7/14/2021,Exeter,RI,41.6,-71.5,1
7/14/2021,Frederick,MD,39.4,-77.5,1
7/14/2021,Hamilton,ON,43.2,-80,2
7/14/2021,Jamestown,NY,42.1,-79.2,1
7/14/2021,Lancaster,PA,40,-76.3,2
7/14/2021,Lynn,MA,42.5,-71,1
7/14/2021,Marysville,IN,38.6,-85.6,1
7/14/2021,Middlebury,CT,41.5,-73.1,1
7/14/2021,Milan,PA,41.9,-76.5,1
7/14/2021,Milan,PA,41.9,-76.5,1
7/14/2021,New Albany,OH,40.1,-82.8,1
