Tag Code,Report Season,Location,latitude,longitude
ABUG414,2020,El Rosario,30.0595,-115.7257
ABUJ555,2020,El Rosario,30.0595,-115.7257
ABUJ845,2020,El Rosario,30.0595,-115.7257
ABUL290,2020,El Rosario,30.0595,-115.7257
ABUN352,2020,El Rosario,30.0595,-115.7257
ABUN525,2020,El Rosario,30.0595,-115.7257
ABUP911,2020,El Rosario,30.0595,-115.7257
ABUT557,2020,El Rosario,30.0595,-115.7257
ABUT624,2020,El Rosario,30.0595,-115.7257
ABUU882,2020,El Rosario,30.0595,-115.7257
ABUW291,2020,El Rosario,30.0595,-115.7257
ABUW567,2020,El Rosario,30.0595,-115.7257
ABUX323,2020,El Rosario,30.0595,-115.7257
ABUX399,2020,El Rosario,30.0595,-115.7257
ABUY237,2020,El Rosario,30.0595,-115.7257
ABUY341,2020,El Rosario,30.0595,-115.7257
ABWA699,2020,El Rosario,30.0595,-115.7257
ABWB181,2020,El Rosario,30.0595,-115.7257
ABWB563,2020,El Rosario,30.0595,-115.7257
ABWC397,2020,El Rosario,30.0595,-115.7257
ABWC520,2020,El Rosario,30.0595,-115.7257
ABWC910,2020,El Rosario,30.0595,-115.7257
ABWP183,2020,El Rosario,30.0595,-115.7257
ABWR189,2020,El Rosario,30.0595,-115.7257
ABWU291,2020,El Rosario,30.0595,-115.7257
ABWW828,2020,El Rosario,30.0595,-115.7257
ABWZ240,2020,El Rosario,30.0595,-115.7257
ABXA696,2020,El Rosario,30.0595,-115.7257
ABXA925,2020,El Rosario,30.0595,-115.7257
ABXB762,2020,El Rosario,30.0595,-115.7257
ABXE027,2020,El Rosario,30.0595,-115.7257
ABXE259,2020,El Rosario,30.0595,-115.7257
ABXG497,2020,El Rosario,30.0595,-115.7257
ABXL666,2020,El Rosario,30.0595,-115.7257
ABXP140,2020,El Rosario,30.0595,-115.7257
ABXR980,2020,El Rosario,30.0595,-115.7257
ABXT059,2020,El Rosario,30.0595,-115.7257
ABXT204,2020,El Rosario,30.0595,-115.7257
ABXT253,2020,El Rosario,30.0595,-115.7257
ABXT547,2020,El Rosario,30.0595,-115.7257
ABXT579,2020,El Rosario,30.0595,-115.7257
ABXT923,2020,El Rosario,30.0595,-115.7257
ABXU093,2020,El Rosario,30.0595,-115.7257
ABXU649,2020,El Rosario,30.0595,-115.7257
ABXX275,2020,El Rosario,30.0595,-115.7257
ABXX711,2020,El Rosario,30.0595,-115.7257
ABYA954,2020,El Rosario,30.0595,-115.7257
ABYB806,2020,El Rosario,30.0595,-115.7257
ABYC257,2020,El Rosario,30.0595,-115.7257
ABYC481,2020,El Rosario,30.0595,-115.7257
ABYC950,2020,El Rosario,30.0595,-115.7257
ABYE337,2020,El Rosario,30.0595,-115.7257
ABYG159,2020,El Rosario,30.0595,-115.7257
ABYG962,2020,El Rosario,30.0595,-115.7257
ABYH099,2020,El Rosario,30.0595,-115.7257
ABYJ839,2020,El Rosario,30.0595,-115.7257
ABYL010,2020,El Rosario,30.0595,-115.7257
ABYL400,2020,El Rosario,30.0595,-115.7257
ABYM772,2020,El Rosario,30.0595,-115.7257
ABYP709,2020,El Rosario,30.0595,-115.7257
ABYS504,2020,El Rosario,30.0595,-115.7257
ABYS992,2020,El Rosario,30.0595,-115.7257
ABYT990,2020,El Rosario,30.0595,-115.7257
ABYT993,2020,El Rosario,30.0595,-115.7257
ABYU357,2020,El Rosario,30.0595,-115.7257
ABYW267,2020,El Rosario,30.0595,-115.7257
ABYW395,2020,El Rosario,30.0595,-115.7257
ABYX018,2020,El Rosario,30.0595,-115.7257
ABYX248,2020,El Rosario,30.0595,-115.7257
ABYZ598,2020,El Rosario,30.0595,-115.7257
ABZA737,2020,El Rosario,30.0595,-115.7257
ABZA957,2020,El Rosario,30.0595,-115.7257
ABZB738,2020,El Rosario,30.0595,-115.7257
ABZC302,2020,El Rosario,30.0595,-115.7257
ABZE064,2020,El Rosario,30.0595,-115.7257
ABZG042,2020,El Rosario,30.0595,-115.7257
ABZG144,2020,El Rosario,30.0595,-115.7257
ABZG417,2020,El Rosario,30.0595,-115.7257
ABZG464,2020,El Rosario,30.0595,-115.7257
ABZH103,2020,El Rosario,30.0595,-115.7257
ABZH214,2020,El Rosario,30.0595,-115.7257
ABZJ402,2020,El Rosario,30.0595,-115.7257
ABZJ479,2020,El Rosario,30.0595,-115.7257
ABZJ599,2020,El Rosario,30.0595,-115.7257
ABZJ614,2020,El Rosario,30.0595,-115.7257
ABZJ719,2020,El Rosario,30.0595,-115.7257
ABZL034,2020,El Rosario,30.0595,-115.7257
ABZL826,2020,El Rosario,30.0595,-115.7257
ABZN203,2020,El Rosario,30.0595,-115.7257
ABZN711,2020,El Rosario,30.0595,-115.7257
ABZT256,2020,El Rosario,30.0595,-115.7257
ABZT526,2020,El Rosario,30.0595,-115.7257
ABZT917,2020,El Rosario,30.0595,-115.7257
ABZW549,2020,El Rosario,30.0595,-115.7257
ABZW568,2020,El Rosario,30.0595,-115.7257
ABZW571,2020,El Rosario,30.0595,-115.7257
ABZW797,2020,El Rosario,30.0595,-115.7257
ABZX126,2020,El Rosario,30.0595,-115.7257
ABZY607,2020,El Rosario,30.0595,-115.7257
ACAA917,2020,El Rosario,30.0595,-115.7257
ACAB070,2020,El Rosario,30.0595,-115.7257
ACAH435,2020,El Rosario,30.0595,-115.7257
ACAJ610,2020,El Rosario,30.0595,-115.7257
ACAJ924,2020,El Rosario,30.0595,-115.7257
ACAP565,2020,El Rosario,30.0595,-115.7257
ACAP991,2020,El Rosario,30.0595,-115.7257
ACAR059,2020,El Rosario,30.0595,-115.7257
ACAS277,2020,El Rosario,30.0595,-115.7257
ACAT891,2020,El Rosario,30.0595,-115.7257
ACAW300,2020,El Rosario,30.0595,-115.7257
ACAX461,2020,El Rosario,30.0595,-115.7257
ACAX620,2020,El Rosario,30.0595,-115.7257
ACBC850,2020,El Rosario,30.0595,-115.7257
ACBE129,2020,El Rosario,30.0595,-115.7257
ACBE920,2020,El Rosario,30.0595,-115.7257
ACBH780,2020,El Rosario,30.0595,-115.7257
ACBM060,2020,El Rosario,30.0595,-115.7257
ACBM486,2020,El Rosario,30.0595,-115.7257
ACBT192,2020,El Rosario,30.0595,-115.7257
ACBX076,2020,El Rosario,30.0595,-115.7257
ACBX130,2020,El Rosario,30.0595,-115.7257
ACBX619,2020,El Rosario,30.0595,-115.7257
ACCB589,2020,El Rosario,30.0595,-115.7257
ACCJ126,2020,El Rosario,30.0595,-115.7257
ACCU260,2020,El Rosario,30.0595,-115.7257
ACCU543,2020,El Rosario,30.0595,-115.7257
ACCU754,2020,El Rosario,30.0595,-115.7257
ACCW401,2020,El Rosario,30.0595,-115.7257
ACCW403,2020,El Rosario,30.0595,-115.7257
ACEA417,2020,El Rosario,30.0595,-115.7257
ACEB907,2020,El Rosario,30.0595,-115.7257
ACEC059,2020,El Rosario,30.0595,-115.7257
ACEC701,2020,El Rosario,30.0595,-115.7257
ACEC769,2020,El Rosario,30.0595,-115.7257
ACEG435,2020,El Rosario,30.0595,-115.7257
ACEG594,2020,El Rosario,30.0595,-115.7257
ACEG778,2020,El Rosario,30.0595,-115.7257
ACEH720,2020,El Rosario,30.0595,-115.7257
ACEJ207,2020,El Rosario,30.0595,-115.7257
ACEM278,2020,El Rosario,30.0595,-115.7257
ACEN834,2020,El Rosario,30.0595,-115.7257
ACEN909,2020,El Rosario,30.0595,-115.7257
ACEP287,2020,El Rosario,30.0595,-115.7257
ACEP410,2020,El Rosario,30.0595,-115.7257
ACEP417,2020,El Rosario,30.0595,-115.7257
ACEP660,2020,El Rosario,30.0595,-115.7257
ACEP690,2020,El Rosario,30.0595,-115.7257
ACEP843,2020,El Rosario,30.0595,-115.7257
ACER054,2020,El Rosario,30.0595,-115.7257
ACER974,2020,El Rosario,30.0595,-115.7257
ACES032,2020,El Rosario,30.0595,-115.7257
ACES552,2020,El Rosario,30.0595,-115.7257
ACET809,2020,El Rosario,30.0595,-115.7257
ACEW202,2020,El Rosario,30.0595,-115.7257
ACEW707,2020,El Rosario,30.0595,-115.7257
ACGB002,2020,El Rosario,30.0595,-115.7257
ACGB229,2020,El Rosario,30.0595,-115.7257
ACGE635,2020,El Rosario,30.0595,-115.7257
ACGE710,2020,El Rosario,30.0595,-115.7257
ACGE713,2020,El Rosario,30.0595,-115.7257
ACGG664,2020,El Rosario,30.0595,-115.7257
ACGH399,2020,El Rosario,30.0595,-115.7257
ACGJ247,2020,El Rosario,30.0595,-115.7257
ACGM576,2020,El Rosario,30.0595,-115.7257
ACGW185,2020,El Rosario,30.0595,-115.7257
ACGW518,2020,El Rosario,30.0595,-115.7257
ACGW786,2020,El Rosario,30.0595,-115.7257
ACGX531,2020,El Rosario,30.0595,-115.7257
ACGY364,2020,El Rosario,30.0595,-115.7257
ACGZ502,2020,El Rosario,30.0595,-115.7257
ACGZ798,2020,El Rosario,30.0595,-115.7257
ACGZ862,2020,El Rosario,30.0595,-115.7257
ACHA241,2020,El Rosario,30.0595,-115.7257
ACHB558,2020,El Rosario,30.0595,-115.7257
ACHB932,2020,El Rosario,30.0595,-115.7257
ACHH890,2020,El Rosario,30.0595,-115.7257
ACHM954,2020,El Rosario,30.0595,-115.7257
ACHT843,2020,El Rosario,30.0595,-115.7257
ACHW078,2020,El Rosario,30.0595,-115.7257
ACHW079,2020,El Rosario,30.0595,-115.7257
ACJC214,2020,El Rosario,30.0595,-115.7257
ACJC369,2020,El Rosario,30.0595,-115.7257
ACJE031,2020,El Rosario,30.0595,-115.7257
ACJG428,2020,El Rosario,30.0595,-115.7257
ACJG634,2020,El Rosario,30.0595,-115.7257
ACJG953,2020,El Rosario,30.0595,-115.7257
ACJH767,2020,El Rosario,30.0595,-115.7257
ACJJ682,2020,El Rosario,30.0595,-115.7257
ACJJ737,2020,El Rosario,30.0595,-115.7257
ACJL649,2020,El Rosario,30.0595,-115.7257
ACJL670,2020,El Rosario,30.0595,-115.7257
ACJL758,2020,El Rosario,30.0595,-115.7257
ACJM407,2020,El Rosario,30.0595,-115.7257
ACJZ668,2020,El Rosario,30.0595,-115.7257
ACLA772,2020,El Rosario,30.0595,-115.7257
ACLB258,2020,El Rosario,30.0595,-115.7257
ACLB372,2020,El Rosario,30.0595,-115.7257
ACLB390,2020,El Rosario,30.0595,-115.7257
