month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
4,2003,30+_TO_35,25,25,13
4,2003,35+_TO_40,60,60,24
4,2003,4O+_TO_45,5,5,4
4,2004,20+_TO_25,1,1,1
4,2004,25+_TO_30,6,6,6
4,2004,30+_TO_35,28,28,17
4,2004,35+_TO_40,28,28,16
4,2004,4O+_TO_45,5,5,5
4,2005,25+_TO_30,9,9,5
4,2005,30+_TO_35,48,48,20
4,2005,35+_TO_40,38,38,19
4,2005,4O+_TO_45,2,2,2
4,2006,30+_TO_35,48,48,14
4,2006,35+_TO_40,131,131,28
4,2006,4O+_TO_45,18,18,13
4,2007,25+_TO_30,2,2,2
4,2007,30+_TO_35,31,31,20
4,2007,35+_TO_40,68,68,20
4,2007,4O+_TO_45,8,8,6
4,2008,25+_TO_30,3,3,3
4,2008,30+_TO_35,54,54,20
4,2008,35+_TO_40,106,106,25
4,2008,4O+_TO_45,12,12,9
4,2009,25+_TO_30,7,7,7
4,2009,30+_TO_35,76,76,23
4,2009,35+_TO_40,116,116,26
4,2009,4O+_TO_45,24,24,8
4,2010,20+_TO_25,1,1,1
4,2010,25+_TO_30,25,25,12
4,2010,30+_TO_35,72,72,25
4,2010,35+_TO_40,43,43,22
4,2011,20+_TO_25,2,2,2
4,2011,25+_TO_30,23,23,12
4,2011,30+_TO_35,87,87,25
4,2011,35+_TO_40,219,219,30
4,2011,45+_TO_50,1,1,1
4,2011,4O+_TO_45,9,9,6
4,2012,25+_TO_30,5,5,4
4,2012,30+_TO_35,21,21,15
4,2012,35+_TO_40,97,97,27
4,2012,4O+_TO_45,36,36,14
4,2013,20+_TO_25,3,3,3
4,2013,25+_TO_30,23,23,13
4,2013,30+_TO_35,68,68,26
4,2013,35+_TO_40,25,25,14
4,2013,4O+_TO_45,2,2,1
4,2014,20+_TO_25,14,14,9
4,2014,25+_TO_30,31,31,19
4,2014,30+_TO_35,98,98,23
4,2014,35+_TO_40,69,69,22
4,2014,4O+_TO_45,1,1,1
4,2015,20+_TO_25,1,1,1
4,2015,25+_TO_30,65,65,27
4,2015,30+_TO_35,115,115,23
4,2015,35+_TO_40,62,62,23
4,2015,4O+_TO_45,3,3,2
4,2016,20+_TO_25,4,4,3
4,2016,20_OR_LESS,1,1,1
4,2016,25+_TO_30,27,38,17
4,2016,30+_TO_35,74,94,26
4,2016,35+_TO_40,48,52,23
4,2016,4O+_TO_45,4,4,4
4,2017,25+_TO_30,13,16,10
4,2017,30+_TO_35,125,227,25
4,2017,35+_TO_40,465,1825,29
4,2017,4O+_TO_45,119,155,19
4,2018,25+_TO_30,13,18,10
4,2018,30+_TO_35,140,179,28
4,2018,35+_TO_40,146,160,27
4,2018,4O+_TO_45,2,2,1
4,2019,25+_TO_30,12,16,11
4,2019,30+_TO_35,99,144,25
4,2019,35+_TO_40,295,330,30
4,2019,4O+_TO_45,13,13,8
4,2020,25+_TO_30,14,20,10
