month,year,lat_range,egg_first_sight_dates,egg_first_sight_number,egg_first_sight_distinct_dates
6,2013,45+_TO_50,12,12,7
6,2013,4O+_TO_45,54,54,23
6,2014,25+_TO_30,1,1,1
6,2014,30+_TO_35,1,1,1
6,2014,35+_TO_40,13,13,10
6,2014,45+_TO_50,14,14,11
6,2014,4O+_TO_45,71,74,25
6,2015,30+_TO_35,1,1,1
6,2015,35+_TO_40,22,22,17
6,2015,45+_TO_50,31,31,15
6,2015,4O+_TO_45,103,140,29
6,2016,30+_TO_35,4,35,4
6,2016,35+_TO_40,12,135,10
6,2016,45+_TO_50,22,224,14
6,2016,4O+_TO_45,77,248,27
6,2017,30+_TO_35,2,52,2
6,2017,35+_TO_40,15,63,11
6,2017,45+_TO_50,34,188,17
6,2017,4O+_TO_45,120,559,26
6,2018,35+_TO_40,24,136,16
6,2018,45+_TO_50,18,151,13
6,2018,4O+_TO_45,85,467,28
6,2018,5O+_OR_GREATER,2,3,2
6,2019,25+_TO_30,1,12,1
6,2019,30+_TO_35,3,6,3
6,2019,35+_TO_40,31,231,21
6,2019,45+_TO_50,34,318,15
6,2019,4O+_TO_45,130,920,24
6,2019,5O+_OR_GREATER,1,8,1
6,2020,25+_TO_30,2,6,2
6,2020,30+_TO_35,5,23,5
6,2020,35+_TO_40,26,125,16
6,2020,45+_TO_50,44,382,17
6,2020,4O+_TO_45,147,714,26
6,2020,5O+_OR_GREATER,2,22,2
7,1998,4O+_TO_45,3,3,3
7,2002,35+_TO_40,1,1,1
7,2002,45+_TO_50,1,1,1
7,2002,4O+_TO_45,7,7,7
7,2003,45+_TO_50,1,1,1
7,2003,4O+_TO_45,2,2,2
7,2004,4O+_TO_45,2,2,2
7,2005,35+_TO_40,3,3,3
7,2005,45+_TO_50,1,1,1
7,2005,4O+_TO_45,6,6,6
7,2006,35+_TO_40,1,1,1
7,2006,45+_TO_50,1,1,1
7,2006,4O+_TO_45,4,4,3
7,2007,35+_TO_40,1,1,1
7,2007,4O+_TO_45,4,4,4
7,2008,25+_TO_30,1,1,1
7,2008,35+_TO_40,3,3,3
7,2008,45+_TO_50,1,1,1
7,2008,4O+_TO_45,4,4,4
7,2009,35+_TO_40,2,2,2
7,2009,45+_TO_50,3,3,3
7,2009,4O+_TO_45,3,3,3
7,2010,35+_TO_40,9,9,8
7,2010,45+_TO_50,1,1,1
7,2010,4O+_TO_45,11,11,10
7,2011,35+_TO_40,2,2,1
7,2011,45+_TO_50,1,1,1
7,2011,4O+_TO_45,14,14,13
7,2012,30+_TO_35,3,3,3
7,2012,35+_TO_40,1,1,1
7,2012,45+_TO_50,2,2,2
7,2012,4O+_TO_45,10,10,8
7,2013,25+_TO_30,1,1,1
7,2013,30+_TO_35,2,2,2
7,2013,35+_TO_40,12,12,9
7,2013,45+_TO_50,6,6,6
7,2013,4O+_TO_45,53,53,21
7,2014,35+_TO_40,5,5,5
7,2014,45+_TO_50,4,4,4
7,2014,4O+_TO_45,32,32,18
7,2015,30+_TO_35,1,150,1
7,2015,35+_TO_40,15,53,9
7,2015,45+_TO_50,7,22,7
7,2015,4O+_TO_45,54,295,25
7,2016,30+_TO_35,3,114,3
7,2016,35+_TO_40,27,187,16
7,2016,45+_TO_50,6,75,6
7,2016,4O+_TO_45,72,399,26
7,2017,35+_TO_40,21,100,13
7,2017,45+_TO_50,2,60,2
7,2017,4O+_TO_45,71,436,27
7,2018,30+_TO_35,2,17,2
7,2018,35+_TO_40,20,172,15
