month,year,lat_range,adult_sight_dates,adult_sight_number,adult_sight_distinct_dates
10,2000,45+_TO_50,1,1,1
10,2000,4O+_TO_45,9,9,9
10,2004,30+_TO_35,1,1,1
10,2008,4O+_TO_45,1,2,1
10,2009,25+_TO_30,1,1,1
10,2009,30+_TO_35,6,6,3
10,2009,35+_TO_40,1,1,1
10,2009,45+_TO_50,1,1,1
10,2009,4O+_TO_45,5,5,5
10,2010,20+_TO_25,8,8,8
10,2010,20_OR_LESS,2,2,2
10,2010,25+_TO_30,156,156,31
10,2010,30+_TO_35,291,291,31
10,2010,35+_TO_40,179,179,31
10,2010,45+_TO_50,12,12,6
10,2010,4O+_TO_45,254,257,30
10,2011,20+_TO_25,9,13,7
10,2011,20_OR_LESS,4,28,3
10,2011,25+_TO_30,184,815,31
10,2011,30+_TO_35,359,2703,31
10,2011,35+_TO_40,319,1118,31
10,2011,45+_TO_50,32,91,13
10,2011,4O+_TO_45,600,1883,30
10,2012,20+_TO_25,4,44,4
10,2012,20_OR_LESS,2,6,2
10,2012,25+_TO_30,155,824,31
10,2012,30+_TO_35,318,1463,31
10,2012,35+_TO_40,201,704,27
10,2012,45+_TO_50,5,5,4
10,2012,4O+_TO_45,233,775,29
10,2013,20+_TO_25,9,63,6
10,2013,25+_TO_30,153,888,31
10,2013,30+_TO_35,301,1530,31
10,2013,35+_TO_40,390,1099,30
10,2013,45+_TO_50,20,28,9
10,2013,4O+_TO_45,404,909,27
10,2014,20+_TO_25,19,132,12
10,2014,20_OR_LESS,1,1,1
10,2014,25+_TO_30,185,1537,30
10,2014,30+_TO_35,547,4720,31
10,2014,35+_TO_40,590,2347,31
10,2014,45+_TO_50,32,48,19
10,2014,4O+_TO_45,527,2046,30
10,2015,20+_TO_25,18,61,12
10,2015,25+_TO_30,173,1062,31
10,2015,30+_TO_35,552,2693,31
10,2015,35+_TO_40,718,2633,30
10,2015,45+_TO_50,17,20,13
10,2015,4O+_TO_45,472,1945,29
10,2016,20+_TO_25,17,103,11
10,2016,20_OR_LESS,2,6,2
10,2016,25+_TO_30,211,987,31
10,2016,30+_TO_35,978,5280,31
10,2016,35+_TO_40,1193,3753,31
10,2016,45+_TO_50,86,156,21
10,2016,4O+_TO_45,1093,2428,31
10,2017,20+_TO_25,25,120,17
10,2017,20_OR_LESS,3,8,3
10,2017,25+_TO_30,174,924,31
10,2017,30+_TO_35,841,4338,31
10,2017,35+_TO_40,1287,4372,31
10,2017,45+_TO_50,79,116,24
10,2017,4O+_TO_45,1722,6068,31
10,2018,20+_TO_25,3,14,3
10,2018,20_OR_LESS,1,1,1
10,2018,25+_TO_30,188,1113,29
10,2018,30+_TO_35,864,4738,31
10,2018,35+_TO_40,1378,7382,31
10,2018,45+_TO_50,17,20,8
10,2018,4O+_TO_45,1116,3362,31
10,2019,20+_TO_25,5,38,5
10,2019,20_OR_LESS,2,2,2
10,2019,25+_TO_30,157,1488,29
10,2019,30+_TO_35,888,5281,31
10,2019,35+_TO_40,1016,5106,31
10,2019,45+_TO_50,54,76,17
10,2019,4O+_TO_45,1205,4683,31
10,2020,20+_TO_25,6,204,4
10,2020,20_OR_LESS,12,37,8
10,2020,25+_TO_30,135,1059,30
10,2020,30+_TO_35,727,4004,31
10,2020,35+_TO_40,948,3539,31
10,2020,45+_TO_50,18,20,8
10,2020,4O+_TO_45,581,1176,29
10,2020,5O+_OR_GREATER,1,1,1
11,1997,25+_TO_30,4,4,4
11,1997,30+_TO_35,7,7,6
11,1997,35+_TO_40,6,6,6
11,1997,4O+_TO_45,2,2,2
11,1998,25+_TO_30,6,6,6
11,1998,30+_TO_35,6,6,5
11,1998,35+_TO_40,3,3,2
11,1998,4O+_TO_45,7,7,6
11,1999,25+_TO_30,1,1,1
11,1999,30+_TO_35,1,1,1
11,1999,35+_TO_40,5,5,4
11,2000,25+_TO_30,1,1,1
11,2000,30+_TO_35,1,1,1
